experiment,settings,duration mean,duration min,duration 75%,duration median,duration 25%,duration max,duration std,duration variance,duration count,interval mean,interval min,interval 75%,interval median,interval 25%,interval max,interval std,interval variance,interval count
20170223-NO-3400,80-250 4 peaks (3 and 2),45.551388888826665,10.20833333,51.822916667499996,33.125,22.5,425.0,42.21579768870957,1782.1735744940563,750,1150.3254339148598,10.0,1220.625,186.875,38.33333333,21849.79167,2284.496445895454,5218924.011308961,749
20170223-NO-3400,80-250 5 peaks (3 and 2),53.60647334504393,10.83333333,61.25,40.83333333,28.125,425.0,45.46193281859993,2066.787335602893,569,1523.33663439169,10.0,1799.53125025,217.0833333,41.197916667499996,22515.625,2921.974409267371,8537934.4484134,568
20170223-NO-3400,80-250 6 peaks (3 and 2),61.21372767857143,17.29166667,68.64583333499999,46.770833335,33.75,425.0,48.34853903845991,2337.5812271534824,448,1932.2576435594633,10.20833333,2151.875,228.125,39.27083333,23149.16667,3752.4828171302784,14081127.292857992,447
20170223-NO-3400,80-250 4 peaks (4 and 3),46.06540084395569,10.0,53.125,34.6875,25.05208333,381.875,40.650862526640225,1652.4926241598025,316,2751.723544954444,10.20833333,2497.7083334999998,165.625,43.33333333,42725.83333,5603.442365062241,31398566.338574328,315
20170223-NO-3400,80-250 5 peaks (4 and 3),53.16390041510373,11.25,60.20833333,41.875,28.33333333,381.875,43.95094511168502,1931.6855762103498,241,3600.6666666493334,10.20833333,2770.78124975,193.3333333,42.916666665,45081.04167,7435.073187452088,55280313.302768946,240
20170223-NO-3400,80-250 6 peaks (4 and 3),61.59646739141305,14.16666667,68.5937499975,48.333333335,36.04166667,381.875,47.06264552548915,2214.892603857844,184,-111.40285307614138,-884436.4583,3677.39583325,246.875,42.916666665,49541.45833,66064.60313978684,4364531788.017533,184
20170223-NO-3400,250-500 4 peaks (3 and 2),38.13534531929794,10.0,41.875,26.875,18.54166667,347.7083333,37.10733860798155,1376.9545785673984,1168,729.4235575568894,10.0,701.45833335,150.2083333,40.104166665,12055.41667,1438.6908759319851,2069831.436489943,1167
20170223-NO-3400,250-500 5 peaks (3 and 2),41.75930500616601,10.0,46.04166667,29.58333333,21.45833333,347.7083333,38.57426263458047,1487.973737801591,1012,844.2324019209693,10.0,877.3958333,171.25,43.333333335,12055.41667,1605.7973084282598,2578584.995755444,1011
20170223-NO-3400,250-500 6 peaks (3 and 2),44.82371794824972,10.20833333,49.58333333,31.66666667,23.125,347.7083333,39.886154141992705,1590.9052922388018,897,954.8800223211941,10.0,1024.68750025,202.3958333,44.322916667499996,15622.08333,1773.373118393997,3144852.217042449,896
20170223-NO-3400,250-500 4 peaks (4 and 3),33.47933070885039,10.0,36.979166665,25.0,17.70833333,264.1666667,28.276794791773035,799.5771236960426,635,1371.5460699510409,10.0,1697.447917,203.2291667,43.385416665,31660.41667,2823.4313988971517,7971764.864278327,634
20170223-NO-3400,250-500 5 peaks (4 and 3),36.52300185894052,10.0,40.83333333,27.29166667,20.20833333,264.1666667,29.604475395166318,876.424963423008,538,1622.2908907601304,10.0,2021.25,257.2916667,44.58333333,31660.41667,3207.4813001292246,10287936.29067866,537
20170223-NO-3400,250-500 6 peaks (4 and 3),40.25865312291196,10.0,44.6875,30.625,22.29166667,264.1666667,31.261994745653997,977.3123154772982,443,1975.0791855350903,10.0,2319.427083,316.0416667,44.11458333,31660.41667,3703.1896822765484,13713613.822919482,442
20170224-NO-3400,80-250 4 peaks (3 and 2),47.64348785824503,10.20833333,54.375,34.375,23.33333333,533.125,44.530149244490225,1982.9341917365737,906,911.4088397735138,10.0,343.125,87.5,29.58333333,63571.875,4158.193344403735,17290571.88944352,905
20170224-NO-3400,80-250 5 peaks (3 and 2),55.5493515843804,11.45833333,64.375,41.875,29.635416665,533.125,48.01780852125113,2305.709935183538,694,1196.8813131499567,10.0,469.375,96.66666667,33.54166667,63571.875,4949.816820812755,24500686.55960089,693
20170224-NO-3400,80-250 6 peaks (3 and 2),63.550474876672794,13.95833333,72.70833333,50.0,35.0,533.125,51.23654308046007,2625.183346835841,544,1534.2867557323939,10.0,646.14583335,111.875,36.770833335,63957.5,5728.745972752202,32818530.420324575,543
20170224-NO-3400,80-250 4 peaks (4 and 3),46.12103174653439,10.20833333,54.947916667499996,36.770833335,25.6770833325,224.1666667,31.90686616745609,1018.0481086279541,378,2255.0425508118037,10.0,892.5,123.125,36.45833333,70925.83333,7425.6578685138875,55140394.78022221,377
20170224-NO-3400,80-250 5 peaks (4 and 3),52.974457763047944,13.54166667,62.760416665,42.91666667,31.979166665,224.1666667,33.05031222851483,1092.3231384023165,292,2927.575171790241,10.0,959.375,131.875,43.125,75774.58333,8992.88387379052,80871960.36748159,291
20170224-NO-3400,80-250 6 peaks (4 and 3),58.759920635497835,13.54166667,70.52083333499999,48.125,35.625,224.1666667,34.603962962382745,1197.434252701957,231,3536.4375000088694,10.0,1052.34374975,141.04166665,44.16666667,78182.08333,10873.64289887828,118236109.89232606,230
20170224-NO-3400,250-500 4 peaks (3 and 2),37.531993511009375,10.0,44.16666667,27.5,17.70833333,297.7083333,33.445108332487685,1118.575271371837,1387,588.6786014957936,10.0,270.8854167,86.875,29.79166667,45368.54167,2769.953958528024,7672644.932365071,1386
20170224-NO-3400,250-500 5 peaks (3 and 2),41.00766722157369,10.0,47.91666667,31.04166667,20.625,297.7083333,34.62386001351196,1198.8116822352724,1201,682.2626736179417,10.0,307.96875,96.35416666500001,30.781249997499998,45368.54167,2980.9480865983724,8886051.494994497,1200
20170224-NO-3400,250-500 6 peaks (3 and 2),44.538833013831415,10.41666667,52.5,33.75,23.489583335,297.7083333,35.73425133722663,1276.9367186320835,1044,787.3182326726366,10.0,370.9375,106.875,35.729166665,45368.54167,3205.4316216859065,10274791.881303942,1043
20170224-NO-3400,250-500 4 peaks (4 and 3),34.939382338070445,10.0,42.29166667,26.45833333,18.125,248.5416667,27.305461937969472,745.5882516458995,653,1296.241372716503,10.0,682.656250025,143.95833335,48.645833332500004,63094.79167,4752.942286708505,22590460.38078187,652
20170224-NO-3400,250-500 5 peaks (4 and 3),37.925917702895205,10.41666667,46.145833335,29.79166667,20.83333333,248.5416667,28.220818525933772,796.4145982736869,563,1505.904507720783,10.0,806.718750025,158.6458333,52.3437500025,63094.79167,5122.0887201153055,26235792.85673245,562
20170224-NO-3400,250-500 6 peaks (4 and 3),42.135644104912664,10.83333333,50.364583335,33.54166667,23.645833335,248.5416667,29.54419468958931,872.8594398563573,458,1856.3949671822322,10.0,1087.291667,168.75,53.33333333,63094.79167,5780.100037239459,33409556.440495603,457
20170225-NO-3400,80-250 4 peaks (3 and 2),44.88239247336918,10.41666667,54.270833332500004,37.91666667,27.29166667,244.1666667,28.164720913649692,793.2515041437764,558,1543.594030479982,10.0,700.4166667,160.625,51.875,64926.45833,5335.326499738267,28465708.858809385,557
20170225-NO-3400,80-250 5 peaks (3 and 2),52.55165758433242,10.41666667,61.770833335,44.79166667,32.70833333,244.1666667,30.96949194488844,959.1094313245098,367,2364.6453778946448,10.20833333,1306.4583332500001,255.3125,55.3124999975,69602.08333,7119.143089274632,50682198.325566754,366
20170225-NO-3400,80-250 6 peaks (3 and 2),59.44602272787879,13.54166667,70.1041666675,51.66666667,38.072916667499996,244.1666667,33.30823737264471,1109.4386768724457,264,3212.1775981275287,10.20833333,1869.8958335,345.8333333,66.14583333499999,69602.08333,8671.25773290796,75190710.67051607,263
20170225-NO-3400,80-250 4 peaks (4 and 3),40.88815789496241,10.0,50.83333333,36.875,25.625,147.7083333,22.449075835270836,503.96100585774093,133,6253.732638707652,10.83333333,3817.1354165000002,453.02083335,96.45833333,72888.75,13683.667481518689,187242755.74477202,132
20170225-NO-3400,80-250 5 peaks (4 and 3),92.79166666824999,29.79166667,114.6875,75.0,58.385416667499996,244.1666667,51.86997549133521,2690.4943574717154,40,21210.75854619154,10.625,19509.0625,1279.583333,168.0208333,213725.2083,41474.807760747426,1720159678.790955,39
20170225-NO-3400,80-250 6 peaks (4 and 3),55.8913934427869,22.91666667,65.41666667,52.29166667,41.66666667,147.7083333,23.930241048311984,572.6564366303159,61,13791.569443733833,10.83333333,13855.3125,625.20833335,116.56250002499999,125984.5833,27303.05125222944,745456607.6818676,60
20170225-NO-3400,250-500 4 peaks (3 and 2),34.250061094750734,10.0,40.83333333,26.25,17.29166667,368.125,28.153292718161683,792.6078908744956,1364,616.887992178606,10.0,362.91666665,109.7916667,35.104166665,34928.125,2204.21005493797,4858541.966289649,1363
20170225-NO-3400,250-500 5 peaks (3 and 2),37.81834795314912,10.0,44.375,30.3125,20.41666667,368.125,29.385584612755345,863.5125830334036,1140,740.9873427081125,10.0,436.5625,120.625,35.83333333,34928.125,2418.710942762159,5850162.624637411,1139
20170225-NO-3400,250-500 6 peaks (3 and 2),41.14369877042009,10.41666667,48.177083332500004,33.125,23.125,368.125,30.355629954593635,921.4642699402223,976,868.6576923226462,10.0,527.9166667,136.6666667,39.0625,34928.125,2696.3591534792067,7270352.684551104,975
20170225-NO-3400,250-500 4 peaks (4 and 3),31.035464097793348,10.0,36.145833335,25.20833333,17.604166665,250.2083333,23.63695253115905,558.7055249602663,571,1521.1319444452456,10.0,925.88541665,223.75,64.0624999975,34946.45833,3710.175911255966,13765405.29246404,570
